Pregunta,Descripcion
P1,¿Te apuntarías al equipo de Quidditch?
P2,Si te encuentras un troll en las mazmorras. ¿te enfrentarías a él?
P3,¿Te gustan los animales?
P4,¿Insertarías tu nombre en el cáliz de fuego?
P5,¿Jugarías al ajedrez?
P6,¿Haces actividades extracurriculares?
P7,¿Te preocupas por tu apariencia exterior?
P8,Encuentras una varita en el suelo y no sabes de quién es. ¿Buscarías a su dueño para devolvérsela?
P9,Si te hacen una broma pesada. ¿te lo tomarías con buen humor?
P10,Ves una situación donde un matón está metiendose con otra persona aparentemente más debil. ¿acudirías en su ayuda?
P11,Tienes examen la semana que viene. Te pondrías a estudiar cuanto antes. ¿verdad?
P12,¿Te atreverías a deambular por los pasillos de la escuela por la noche?
P13,¿Te gustan los dulces y golosinas?
P14,¿Entrarías al bosque oscuro?
P15,¿Borrarías la memoria de un ser querido si eso significa que le salvarías de cualquier peligro?
P16,¿Te transformarías en otra persona para obtener algún beneficio?
P17,¿Te enfrentarías a un dementor?
P18,Si la Muerte te ofrece la Capa de Invisibilidad. ¿la cogerías?
P19,Si la Muerte te ofrece la Piedra de la Resurrección. ¿la cogerías?
P20,Si la Muerte te ofrece la Varita de Sauco. ¿la cogerías?
